00201000000001,00201202860677,2,1,09:00:00,0
00201000000003,https://facebook.com,3,566279,09:00:30,10
00201000000003,00201926699139,1,451,09:01:00,0
00201000000001,00201512536863,2,1,09:01:30,0
00201000000003,https://netflix.com,3,132490,09:02:00,0
00201000000001,00201644075641,2,1,09:02:30,0
00201000000002,00201491316962,2,1,09:03:00,0
00201000000001,00201103967085,2,1,09:03:30,0
00201000000002,00201393505557,1,46,09:04:00,0
00201000000001,https://google.com,3,315209,09:04:30,10
00201000000002,00201213684406,2,1,09:05:00,0
00201000000003,00201877858395,2,1,09:05:30,0
00201000000001,00201614543577,2,1,09:06:00,0
00201000000002,https://whatsapp.net,3,108354,09:06:30,0
00201000000002,https://whatsapp.net,3,252049,09:07:00,0
00201000000002,00201798274675,2,1,09:07:30,0
00201000000002,00201967837383,2,1,09:08:00,0
00201000000002,https://whatsapp.net,3,36386,09:08:30,0
00201000000002,00201951522528,2,1,09:09:00,0
00201000000002,00201694561831,2,1,09:09:30,0
00201000000003,https://netflix.com,3,818433,09:10:00,25
00201000000002,https://google.com,3,113393,09:10:30,0
00201000000003,https://netflix.com,3,980117,09:11:00,10
00201000000002,https://whatsapp.net,3,553883,09:11:30,10
00201000000003,00201142588695,1,389,09:12:00,0
00201000000002,00201144031849,2,1,09:12:30,0
00201000000002,00201765163634,1,134,09:13:00,0
00201000000001,00201137464779,1,580,09:13:30,0
00201000000002,https://google.com,3,761844,09:14:00,0
00201000000003,https://facebook.com,3,224929,09:14:30,0
00201000000002,00201423896274,2,1,09:15:00,0
00201000000002,00201606512975,2,1,09:15:30,0
00201000000001,https://facebook.com,3,1003,09:16:00,0
00201000000001,00201896625228,1,262,09:16:30,0
00201000000001,https://whatsapp.net,3,293310,09:17:00,0
00201000000002,00201431785334,2,1,09:17:30,0
00201000000003,00201521460972,1,564,09:18:00,0
00201000000002,00201713168748,1,90,09:18:30,0
00201000000001,https://whatsapp.net,3,198020,09:19:00,25
00201000000002,00201490947574,1,599,09:19:30,0
00201000000001,00201969815162,2,1,09:20:00,0
00201000000003,00201547516474,2,1,09:20:30,0
00201000000001,00201536398060,2,1,09:21:00,0
00201000000003,https://google.com,3,381935,09:21:30,0
00201000000003,https://netflix.com,3,667748,09:22:00,0
00201000000003,00201422806720,1,224,09:22:30,0
00201000000001,00201565172279,1,493,09:23:00,0
00201000000001,00201288354769,1,220,09:23:30,0
00201000000002,00201134941304,2,1,09:24:00,0
00201000000002,00201147740843,1,56,09:24:30,0
00201000000002,00201117984150,1,102,09:25:00,0
00201000000003,00201931698228,1,37,09:25:30,0
00201000000002,00201400198535,1,142,09:26:00,0
00201000000003,https://netflix.com,3,981293,09:26:30,25
00201000000003,00201948476251,2,1,09:27:00,0
00201000000002,00201499572162,1,557,09:27:30,0
00201000000003,00201541456192,2,1,09:28:00,0
00201000000002,https://facebook.com,3,330521,09:28:30,25
00201000000003,00201208083510,2,1,09:29:00,0
00201000000002,00201177505252,1,348,09:29:30,0
00201000000001,00201275088639,2,1,09:30:00,0
00201000000003,00201485943916,2,1,09:30:30,0
00201000000002,https://netflix.com,3,482324,09:31:00,0
00201000000001,00201383001549,2,1,09:31:30,0
00201000000002,00201705676776,2,1,09:32:00,0
00201000000002,https://facebook.com,3,909506,09:32:30,25
00201000000001,https://facebook.com,3,542342,09:33:00,25
00201000000003,00201442871056,1,286,09:33:30,0
00201000000003,00201756025023,1,263,09:34:00,0
00201000000002,https://google.com,3,377230,09:34:30,0
00201000000002,https://facebook.com,3,76483,09:35:00,10
00201000000002,https://facebook.com,3,342688,09:35:30,0
00201000000001,00201345390693,1,400,09:36:00,0
00201000000002,00201279594885,2,1,09:36:30,0
00201000000002,00201189144634,2,1,09:37:00,0
00201000000001,00201955358297,1,248,09:37:30,0
00201000000003,00201116969944,2,1,09:38:00,0
00201000000001,00201713517459,2,1,09:38:30,0
00201000000001,00201258439030,2,1,09:39:00,0
00201000000001,00201823699240,1,471,09:39:30,0
00201000000002,00201730692474,2,1,09:40:00,0
00201000000001,00201216760237,1,322,09:40:30,0
00201000000003,https://whatsapp.net,3,730677,09:41:00,25
00201000000003,00201262475456,2,1,09:41:30,0
00201000000002,00201772171162,1,77,09:42:00,0
00201000000002,https://google.com,3,158094,09:42:30,0
00201000000003,00201430080699,1,479,09:43:00,0
00201000000002,00201325218811,1,380,09:43:30,0
00201000000002,https://google.com,3,858879,09:44:00,0
00201000000002,00201397090544,2,1,09:44:30,0
00201000000002,00201388112189,2,1,09:45:00,0
00201000000002,00201832090042,2,1,09:45:30,0
00201000000002,00201432178006,1,222,09:46:00,0
00201000000003,https://google.com,3,893574,09:46:30,25
00201000000001,https://netflix.com,3,874333,09:47:00,10
00201000000003,00201316110554,2,1,09:47:30,0
00201000000003,https://google.com,3,139032,09:48:00,25
00201000000002,00201867722214,1,486,09:48:30,0
00201000000003,00201644738075,1,329,09:49:00,0
00201000000001,00201594832979,1,581,09:49:30,0
