file_id,dial_a,dial_b,start_time,duration,service_id,hplmn,vplmn,external_charges
1,201187441626,201090000002,2026-04-21 14:29:42,1,3,EGYVO,,0
1,201554543248,201090000001,2026-04-11 06:35:42,3226,1,EGYVO,,0
1,201000000032,201090000001,2026-04-04 19:32:42,1,3,EGYVO,,0
1,201294741054,201000000008,2026-04-24 23:16:42,1682,1,EGYVO,,0
1,201929443681,201090000002,2026-04-16 04:51:42,1126,1,EGYVO,,0
1,201960970378,facebook.com,2026-04-16 23:50:42,132,2,EGYVO,,0
1,201254131544,whatsapp.net,2026-03-30 09:07:42,156,2,EGYVO,,0
1,201989105436,201090000002,2026-03-30 17:24:42,1,3,EGYVO,,0
1,201653069004,201090000003,2026-04-01 17:38:42,1,3,EGYVO,,0
1,201000000043,201000000008,2026-04-01 09:55:42,1,3,EGYVO,,0
1,201949415036,facebook.com,2026-04-17 15:25:42,426,2,EGYVO,,0
1,201000000014,201090000002,2026-04-28 20:10:42,2838,1,EGYVO,,0
1,201255851063,201000000008,2026-03-31 19:14:42,1,3,EGYVO,,0
1,201987939852,201090000003,2026-04-18 12:50:42,2544,1,EGYVO,,0
1,201255516201,201090000002,2026-04-22 02:08:42,214,1,EGYVO,,0
1,201192472707,google.com,2026-04-09 02:19:42,262,2,EGYVO,,0
1,201935743165,youtube.com,2026-04-01 04:12:42,18,2,EGYVO,,0
1,201243897854,201223344556,2026-04-22 10:32:42,714,1,EGYVO,,0
1,201000000043,201090000001,2026-04-16 23:31:42,2266,1,EGYVO,,0
1,201358767975,201000000008,2026-04-05 08:51:42,1,3,EGYVO,,0
1,201582165582,201223344556,2026-04-02 05:24:42,3295,1,EGYVO,,0
1,201804307139,youtube.com,2026-04-07 05:33:42,375,2,EGYVO,,0
1,201804307139,201000000008,2026-04-16 13:10:42,1,3,EGYVO,,0
1,201462924192,201090000002,2026-04-24 16:58:42,2748,1,EGYVO,,0
1,201000000006,whatsapp.net,2026-04-14 05:07:42,103,2,EGYVO,,0
1,201000000042,201090000002,2026-04-05 01:14:42,3089,1,EGYVO,,0
1,201419739858,201090000002,2026-04-01 03:00:42,1,3,EGYVO,,0
1,201200072017,facebook.com,2026-04-17 22:14:42,76,2,EGYVO,,0
1,201971560057,201090000001,2026-04-14 11:26:42,978,1,EGYVO,,0
1,201929443681,whatsapp.net,2026-04-19 21:58:42,439,2,EGYVO,,0
1,201000000029,201090000002,2026-04-15 23:00:42,346,1,EGYVO,,0
1,201473293348,201223344556,2026-04-05 10:57:42,993,1,EGYVO,,0
1,201766068173,201090000003,2026-04-28 02:48:42,1356,1,EGYVO,,0
1,201113312729,201223344556,2026-04-24 01:53:42,1702,1,EGYVO,,0
1,201135432749,201000000008,2026-04-05 01:46:42,1,3,EGYVO,,0
1,201100488135,201000000008,2026-04-08 16:38:42,386,1,EGYVO,,0
1,201779264035,201223344556,2026-04-19 08:58:42,3546,1,EGYVO,,0
1,201402249115,google.com,2026-04-15 05:59:42,155,2,EGYVO,,0
1,201000000007,201090000003,2026-04-24 11:41:42,1,3,EGYVO,,0
1,201000000032,201090000002,2026-04-02 00:20:42,1729,1,EGYVO,,0
1,201623681391,201090000001,2026-04-20 17:59:42,300,1,EGYVO,,0
1,201720066465,201223344556,2026-04-17 07:41:42,1,3,EGYVO,,0
1,201671270881,201090000001,2026-04-29 05:52:42,1,3,EGYVO,,0
1,201000000047,201090000002,2026-04-01 18:56:42,2901,1,EGYVO,,0
1,201489016716,google.com,2026-04-10 10:58:42,200,2,EGYVO,,0
1,201449404580,fmrz-telecom.net,2026-04-21 16:55:42,148,2,EGYVO,,0
1,201949566929,google.com,2026-03-30 07:56:42,436,2,EGYVO,,0
1,201198229833,201090000003,2026-04-07 03:18:42,1958,1,EGYVO,,0
